Gene,ISPP_AD,ISPP_AR,ISPP_XL,ISPP_PAE,HI,REC,CONS,RVIS,NET,GDI
GDA,0.0,0.08759097612741867,*,0.07605326566096333,0.44628,0.28214,-0.018829264,0.0184834648,0.986140339814821,101.51403
SCN3A,0.05010564874387968,0.009865798169648504,*,0.01863599003901111,0.58721,0.10604,4.362162498,-2.4750795838,0.880774016214433,555.03286
SCN3B,0.6676615635237421,0.006483028954944385,*,0.012548808658569305,0.14484,0.14928,0.985625054,-0.2735762528,0.51172285000232,12.44522
GFER,0.0,0.6387924049445295,*,0.10558852037379354,0.072,0.3038,0.000001,0.000001,0.897434256050941,149.48152
RPLP2,0.0062540726970002234,0.01586574854794862,0.025556485468257496,0.018812156518937608,0.81054,0.28104,0.000001,-0.1853912816,0.924673540390155,49.14713
ZSCAN9,0.0,0.019373911501471545,*,0.0,0.000001,0.000001,0.000001,0.0405295409,*,238.93992
PIP5KL1,0.006299671716728427,0.044657895099167205,*,0.0736094924521028,0.000001,0.000001,0.405026495,0.1948527018,0.820042706267703,39.04921
BTBD1,0.015833568193080818,0.008578040756619344,*,0.009479473550259462,0.22175,0.11147,1.73947493,-0.1615247089,0.994906522634663,99.13934
BTBD2,0.00944733652345461,0.0063612458214662064,*,0.0,0.16014,0.11161,2.11773311,-0.6226769456,0.730528257291483,3774.01478
RPLP0,0.058527994530460745,0.012699369695245204,*,0.07906666599534118,0.99689,0.28104,2.130406678,-0.0292476112,0.932925004371734,28.4761
BTBD3,0.010456853724295289,0.028577410733755117,*,0.0,0.24723,0.11646,2.018266475,-0.0256086474,0.052389508637015,77.08743
RPLP1,0.0219752113746038,0.020841611306727466,0.03674978204989513,0.00641949368239408,0.31003,0.21177,0.000001,-0.0531135452,0.90775207823158,6.91851
TMEFF2,0.059928334296853215,0.06009007767320754,*,0.03554019584733687,0.36998,0.26214,1.253046199,-0.1394785526,0.307483654878265,116.63956
ACAA2,0.0214925873341749,0.1727112524468484,*,0.11220918987534806,0.17491,0.36635,-1.154498349,-0.5785836229,0.0134908896805712,396.13986
TMEFF1,0.006326838596247086,0.03152559184415154,*,0.0,0.000001,0.000001,-0.256191085,-0.4499465344,0.241420997620027,17.91959
SCN2B,0.6748930415874573,0.0217029810281072,*,0.05681833734252474,0.21416,0.13285,0.191008002,-0.4499465344,0.248328995009025,11.26886
TFPT,0.0,0.061788654015115504,*,0.11717319727606944,0.17443,0.27129,-0.020941357,-0.1376585754,0.991088670898289,102.84128
BARHL1,0.04180050145468548,0.006259803593133704,*,0.006381666414251036,0.80566,0.16046,2.670775506,-0.3617612788,0.946187186440198,12.52617
UGCG,0.029017538141237743,0.06536190808029271,*,0.025518791698573934,0.18485,0.40044,1.490825628,-0.0512938299,0.976486603829407,13.55042
BARHL2,0.012764082224243299,0.00634889304493308,*,0.0,0.70792,0.10225,2.142586633,-0.5601786932,0.375633921108709,43.82051
SCN2A,0.7645907175567512,0.062350695611541135,*,0.08870843214537177,0.6458,0.34375,5.325529995,-1.98979551,0.710428384805293,693.6775
BTBD7,0.0157652882036647,0.019625869051681236,*,0.0,0.000001,0.000001,1.025050554,-0.9479381645,0.0978513728383685,455.53339
BTBD6,0.043686327692317714,0.03142434904562123,*,0.027821133291103237,0.15911,0.11022,1.466382067,-0.88906181,0.0866305882203229,51.18951
GEM,0.0,0.018882963338115732,*,0.0158800226112943,0.4172,0.11643,0.829842894,-0.0053819721,0.750160040974435,136.3647
BTBD9,0.018984353288970263,0.006239050353092999,*,0.009529735120770566,0.31062,0.1222,1.265274547,-0.9570249758,0.800905186959344,18.76686
OR1S2,0.0,0.0,*,0.0,0.13512,0.08176,-1.291813547,0.1084869281,0.0592102891050717,1060.46079
BTBD8,0.0,0.03350545961562517,*,0.0,4.7E-4,0.01177,0.772902401,0.6394208663,0.462168412455529,141.96036
OR1S1,0.006371013648551417,0.0,*,0.0,0.000001,0.000001,-2.569245234,1.3779211513,0.00597587508140788,3340.27802
TAGLN,0.03836701181757629,0.009155951127230772,*,0.028738627635095618,0.62397,0.35787,0.132060354,-0.0274281004,0.94001362010673,94.00915
HSD11B1,0.025212615593978412,0.040435752629720996,*,0.10749113126737155,0.38141,0.63224,0.466032942,-0.4279001894,0.970893341966611,4.46983
TFPI,0.006360672310463151,0.06413043576496669,*,0.03900642168843456,0.30818,0.32077,1.235105342,0.3271310692,0.929963065827963,39.81837
HSD11B2,0.06856329763353376,0.6816221198948484,*,0.7267908105334507,0.7257,0.64394,1.770112169,-0.4701716901,0.993288411838053,28.64779
ACAA1,0.0,0.17330062987726286,*,0.20260690113346064,0.07126,0.6954,0.017806855,0.064394823,0.667476775213218,1342.80459
NCR3LG1,0.0,0.0,*,0.0,0.000001,0.000001,0.000001,0.000001,*,408.46733
RALGPS2,0.02100420507035677,0.0,*,0.006336857969623033,0.1422,0.09694,2.244907102,-0.2699351402,0.66157746248243,77.93867
SCN1A,0.7076743769323963,0.05529912716846389,*,0.691000072040748,0.25753,0.21408,3.799122695,-1.429430352,0.726517363871283,148.17021
SCN1B,0.6776296189182518,0.0685798351195641,*,0.5831014911745241,0.17394,0.15823,1.303738399,0.6173737742,0.682955847658471,1150.29546
RALGPS1,0.0,0.018900856968713197,*,0.018889844810643066,0.76983,0.12378,2.541497779,-0.2938016524,0.945149854881108,294.12779
T,0.6178101681128894,0.08502553097540791,*,0.7528594096159343,0.29523,0.27623,1.00031594,0.6871504764,0.0317115140920632,2758.54076
ATN1,0.6482841633058363,0.1009367861824365,*,0.13351148234059101,0.48946,0.52345,1.849329577,-0.9479381645,0.453149013939476,746.86669
GFY,0.0,0.0,*,0.0,0.000001,0.000001,0.000001,0.000001,*,2324.4405
FAIM,0.0,0.018927783477700428,*,0.018948543970224045,0.1045,0.11959,0.460442731,0.1709879119,0.254417831862710,4094.91295
ACACA,0.1749174015255853,0.012289736678812077,*,0.055316843579251554,0.46791,0.7316,6.377741751,-1.6130711232,0.982900636750393,151.5075
PPAPDC1B,0.0,0.025957856591054585,*,0.01869426718165464,0.10046,0.10138,0.912720925,0.2150807215,0.114371359811310,62.80483
GGH,0.0,0.02738976394732844,*,0.020898274118540842,0.22475,0.23669,0.226673396,0.3050845594,0.927826072368543,2683.33357
OR1Q1,0.006325932104162066,0.0,*,0.0,0.20608,0.09577,0.187628269,0.9296724198,0.0268362031459188,1344.27495
