@relation predic
@attribute len real
@attribute nonsynvar real
@attribute synvar real
@attribute issuespe {1, 0}
@attribute expr real
@attribute reptime real
@attribute hi real
@attribute rec real
@attribute constaint_score real
@attribute Genic_score real
@attribute tr_count_all real
@attribute GC_content real
@attribute tr_coding_only_length real
@attribute Non_Conding_tr_count real
@attribute case {no,yes}
@data
0.673,8.0,6.0,0,6.81725,451.0,0.14484,0.14928,0.985625054,-0.2735762528,6,45.94,19880.8,1,yes
0.668,15.0,7.0,1,7.07709,293.0,0.21416,0.13285,0.191008002,-0.4499465344,1,53.51,14723.0,0,yes
6.245,29.0,46.0,0,1.19701,879.0,0.6458,0.34375,5.325529995,-1.98979551,7,35.59,114858.2,2,yes
6.16,55.0,35.0,0,0.98532,550.0,0.25753,0.21408,3.799122695,-1.429430352,7,34.85,83948.25,3,yes
1.041,18.0,4.0,0,7.3857,419.0,0.17394,0.15823,1.303738399,0.6173737742,5,55.68,7518.666666666667,2,yes
1.348,22.0,13.0,1,1.41864,323.0,0.29523,0.27623,1.00031594,0.6871504764,4,51.51,8884.5,0,yes
3.618,47.0,27.0,0,27.0495,211.0,0.48946,0.52345,1.849329577,-0.9479381645,4,55.53,15905.0,2,yes
1.62,36.0,17.0,1,11.01543,172.0,0.61775,0.95538,0.795847837,0.622829232,23,56.17,4196.923076923077,10,yes
1.98,13.0,10.0,0,0.34691,524.0,0.16916,0.1616,2.222682729,0.0405295409,19,34.37,44258.625,11,yes
3.115,25.0,24.0,0,3.94223,276.0,0.12366,0.32056,1.510944883,-0.5951748137,4,42.88,41096.0,0,yes
3.385,52.0,54.0,1,0.66632,584.0,0.46692,0.30959,2.27272369,-2.848385772,18,51.33,112110.875,10,yes
6.073,26.0,41.0,0,5.75393,464.0,0.6031,0.25451,6.419004131,-1.7490066273,7,41.03,149368.6,2,yes
1.747,12.0,10.0,0,4.8399,295.0,0.58111,0.15924,2.237466254,-0.5822252308,12,37.9,57908.875,4,yes
1.691,9.0,10.0,0,10.58363,170.0,0.000001,0.000001,1.758670561,-0.1376585754,5,42.43,37729.75,1,yes
1.899,28.0,16.0,0,9.02782,246.0,0.69586,0.09849,1.480116144,-0.2442495952,18,57.06,15240.09090909091,7,yes
1.615,15.0,9.0,0,17.99657,241.0,0.96503,0.39372,2.199749045,-0.6483651047,12,53.38,4025.6666666666665,9,yes
2.088,27.0,9.0,1,3.67341,256.0,0.19167,0.10259,0.458346394,-0.0458352466,10,39.06,45437.71428571428,3,yes
6.636,42.0,60.0,1,9.04852,213.0,0.37044,0.16846,6.165737396,-2.3409222295,9,47.58,31200.5,7,yes
0.712,8.0,7.0,0,7.07709,293.0,0.22248,0.12747,0.869488239,-0.3838075643,6,52.64,17686.0,4,yes
1.312,17.0,11.0,0,16.73246,205.0,0.36339,0.24864,0.327646313,0.0184834648,19,52.29,4970.857142857143,12,yes
1.522,38.0,24.0,0,1.76742,558.0,0.000001,0.000001,-0.627566048,-0.1046968295,8,51.67,37755.0,0,yes
